,Unnamed: 0.1,Unnamed: 0,mz,rt,rt1,rt2,intensity,pic_label,score_inf,snr_inf,snr_mock,score_mock
241,241,241,503.7808958880292,1794.5388823524254,1786.34435109042,1804.55186263467,2798904.705078125,1794.5388823524254_503.7808958880292_2798904.705078125,0.0,4.881771078582469,0.0,
244,244,244,648.3024527193172,1801.7011787454217,1790.79968956851,1812.71194664382,10393238.623046877,1801.7011787454217_648.3024527193172_10393238.623046877,0.0,7.581948860884651,0.0,
247,247,247,424.54033915281,1800.110659192321,1793.77446011448,1812.71194664382,1960848.6181640625,1800.110659192321_424.54033915281_1960848.6181640625,0.8391873148822758,6.080397825286427,0.0,0.0
248,248,248,569.7900159283083,1804.584134122702,1795.26736108209,1807.52016214275,3364692.14453125,1804.584134122702_569.7900159283083_3364692.14453125,0.0,5.017401527327376,0.0,0.0
251,251,251,492.6743617321484,1806.5772477231656,1793.77446011448,1818.72449664021,2896612.4697265625,1806.5772477231656_492.6743617321484_2896612.4697265625,2.5732691866067228,8.192552323155057,0.0,
252,252,252,521.2502637199316,1802.7149287820607,1795.26736108209,1815.69251612568,4835856.052001953,1802.7149287820607_521.2502637199316_4835856.052001953,2.1858323008462457,7.988778330757456,0.0,0.0
255,255,255,497.7617569426212,1809.8960545471955,1801.6832785978504,1821.74240068338,2611052.65625,1809.8960545471955_497.7617569426212_2611052.65625,0.0,5.268023855569544,0.0,0.0
256,256,256,403.51970078808426,1810.6849766373305,1804.55186263467,1818.72449664021,712202.00390625,1810.6849766373305_403.51970078808426_712202.00390625,0.3166229087924717,7.1726747983225625,0.0,0.0
258,258,258,613.8279076650525,1811.060794383627,1804.55186263467,1818.72449664021,2210830.6838378906,1811.060794383627_613.8279076650525_2210830.6838378906,1.3869377637221216,6.3262134080382,0.0,
259,259,259,350.5212811848236,1818.7586038691013,1804.55186263467,1830.79623011496,624053.26171875,1818.7586038691013_350.5212811848236_624053.26171875,0.0,7.700094977518085,0.0,0.0
261,261,261,400.514640182886,1810.6988444849712,1804.55186263467,1821.74240068338,2215410.294921875,1810.6988444849712_400.514640182886_2215410.294921875,2.667069072517907,5.879424747297122,0.0,
265,265,265,394.5263575208964,1812.854187363132,1804.55186263467,1824.7597241773497,12985693.421875,1812.854187363132_394.5263575208964_12985693.421875,0.0,6.991660068482474,0.0,0.0
271,271,271,591.2607976812811,1821.770234886521,1810.14091257,1827.77840713407,2413505.216796875,1821.770234886521_591.2607976812811_2413505.216796875,0.0,4.200789071045803,0.0,
272,272,272,352.83990445498347,1824.689072647155,1801.6832785978504,1830.79623011496,2170829.470703125,1824.689072647155_352.83990445498347_2170829.470703125,0.0,8.508402853013948,0.0,0.0
273,273,273,361.531795143684,1822.2658109225024,1815.69251612568,1845.7662367000496,912082.705078125,1822.2658109225024_361.531795143684_912082.705078125,0.0,6.825227468631542,0.0,0.0
275,275,275,498.6903803832527,1820.15944450586,1815.69251612568,1830.79623011496,1974056.0927734373,1820.15944450586_498.6903803832527_1974056.0927734373,2.3286291590359203,6.351703534561783,0.0,
277,277,277,503.7504396974815,1826.953109420524,1821.74240068338,1836.84141472722,1205704.1000976562,1826.953109420524_503.7504396974815_1205704.1000976562,0.0,5.710646036491648,0.0,0.0
278,278,278,547.79951385071,1823.6914106235472,1815.69251612568,1833.8120311870805,2754033.618652344,1823.6914106235472_547.79951385071_2754033.618652344,2.8895651462142387,6.628220219300627,0.0,0.0
280,280,280,370.856678893644,1821.289836400745,1815.69251612568,1833.8120311870805,826815.0966796875,1821.289836400745_370.856678893644_826815.0966796875,0.0,9.08525912917129,0.0,0.0
281,281,281,374.19630693775474,1823.930594755388,1812.71194664382,1848.73770419502,25545374.03125,1823.930594755388_374.19630693775474_25545374.03125,0.0,9.83558502615767,0.0,0.0
287,287,287,384.54073362747823,1832.9000728085832,1812.71194664382,1860.81615904713,15874475.168945312,1832.9000728085832_384.54073362747823_15874475.168945312,3.06509248523519,7.951353055104843,0.0,0.0
288,288,288,386.4813874491388,1830.7644864337344,1824.7597241773497,1839.87180570507,641762.962890625,1830.7644864337344_386.4813874491388_641762.962890625,0.0,11.561916322979854,0.0,0.0
290,290,290,488.25292713040255,1833.995709140612,1818.72449664021,1857.79287306213,1729226.5502929688,1833.995709140612_488.25292713040255_1729226.5502929688,0.0,10.212134538776516,0.0,0.0
291,291,291,571.2358020546877,1832.4361100398985,1824.7597241773497,1842.84177664662,2003971.619140625,1832.4361100398985_571.2358020546877_2003971.619140625,3.041799174568274,6.444200860842827,0.0,
292,292,292,389.6732862397498,1834.813189903827,1827.77840713407,1848.73770419502,1528734.6303710938,1834.813189903827_389.6732862397498_1528734.6303710938,0.0,8.429442514785789,0.0,
293,293,293,487.60707826817776,1833.9745424255832,1827.77840713407,1845.7662367000496,960533.7370605468,1833.9745424255832_487.60707826817776_960533.7370605468,0.0,7.678067402355115,0.0,
294,294,294,557.2335074156621,1830.7356477650976,1821.74240068338,1839.87180570507,767758.935546875,1830.7356477650976_557.2335074156621_767758.935546875,0.0,8.706418520380922,0.0,
296,296,296,355.1593901620169,1836.959266569528,1827.77840713407,1851.7582046165696,3836272.9912109375,1836.959266569528_355.1593901620169_3836272.9912109375,0.0,9.21134318783849,1.4373239999177891,0.0
297,297,297,497.7746850769243,1833.9980691415428,1827.77840713407,1851.7582046165696,1475049.4169921875,1833.9980691415428_497.7746850769243_1475049.4169921875,0.0,5.976043175793127,0.0,0.0
298,298,298,359.531077666989,1842.724861882776,1821.74240068338,1845.7662367000496,5659030.103515625,1842.724861882776_359.531077666989_5659030.103515625,0.0,13.022794568906791,0.0,0.0
299,299,299,400.664430794157,1834.484527059708,1827.77840713407,1845.7662367000496,2757437.15234375,1834.484527059708_400.664430794157_2757437.15234375,0.0,8.920114998543502,0.0,
